condition,excluded,n_aligned,n_mismatched,scale_max,mean_aligned,mean_mismatched,mean_difference,cohens_d_pooled,jackknife_se
real_telemetry,(none),250,611,36.0,34.55332419080144,31.195219579020485,3.3581046117809557,1.962540549219343,0.26813011162044137
real_telemetry,chronotype_sync,250,611,28.0,28.0,28.0,0.0,nan,0.0
real_telemetry,stress_response,250,611,29.0,27.55332419080144,24.19521957902048,3.358104611780959,1.9625405492193453,0.2681301116204553
real_telemetry,risk_tolerance,250,611,30.0,28.55332419080144,25.19521957902048,3.358104611780959,1.9625405492193453,0.2681301116204572
real_telemetry,decision_style,250,611,31.0,29.55332419080144,26.19521957902048,3.358104611780959,1.9625405492193453,0.26813011162045497
real_telemetry,work_style,250,611,32.0,30.55332419080144,27.195219579020485,3.3581046117809557,1.962540549219343,0.2681301116204563
real_telemetry,team_resilience,250,611,33.0,31.553324190801437,28.195219579020485,3.358104611780952,1.962540549219341,0.2681301116204521
real_telemetry,leadership_orientation,250,611,34.0,32.55332419080144,29.195219579020485,3.3581046117809557,1.962540549219343,0.2681301116204474
real_telemetry,innovation_drive,250,611,35.0,33.55332419080144,30.195219579020485,3.3581046117809557,1.962540549219343,0.268130111620445
simulated_psychometrics,(none),250,611,36.0,27.049576402895,23.959060084556445,3.0905163183385547,1.1729062423242886,0.35396566226952153
simulated_psychometrics,chronotype_sync,250,611,28.0,20.496252212093562,20.763840505535963,-0.267588293442401,-0.1300052021953975,0.20548665516621978
simulated_psychometrics,stress_response,250,611,29.0,21.70263829286085,18.534094583024043,3.1685437098368077,1.281907118408084,0.3516176802895136
simulated_psychometrics,risk_tolerance,250,611,30.0,22.78653357489476,19.51775359365871,3.268779981236051,1.3546576639002887,0.3309998385011238
simulated_psychometrics,decision_style,250,611,31.0,23.551283373864926,20.405893895526184,3.1453894783387426,1.2915018830585805,0.32649117255629984
simulated_psychometrics,work_style,250,611,32.0,24.074584745019123,21.008600695034023,3.0659840499851008,1.190401667571419,0.34678429384020554
simulated_psychometrics,team_resilience,250,611,33.0,24.780948958057525,21.717729077156452,3.063219880901073,1.186955993293185,0.33818286836488354
simulated_psychometrics,leadership_orientation,250,611,34.0,25.642148304457518,22.531281454935115,3.1108668495224023,1.1872105068744185,0.3541776615789577
simulated_psychometrics,innovation_drive,250,611,35.0,26.312645359016734,23.23422678702462,3.0784185719921133,1.17347453363151,0.35217610171293284
